Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Frozen Peas,Right under the frozen pizza.,Quiet,"silent, noiseless",0,0,1,0,0
Dancing,Moving your feet and body in time with music. Chachacha.,Dangerous,"unsafe, risky",0.2,1,1,0,1
United Nations,"The U.N. was founded in 1945, after World War II ended. Its mission is to maintain world peace. If we ever achieve it, that is ...",Exhausting,"weakening, tiring, draining",0.2,0,-1,0,0
Fort Knox,"American military post in Kentucky, containing the greater part of the gold reserve of the U.S. government.",Dignified,"stately, honorable, distinguished",0.3,0,1,0,0
Ramona,"Main character in Beverly Cleary's ""Ramona the Pest"" and other books in the series.",Light & Fluffy,"billowy, airy, soft",0,0,1,0,0
Mel Gibson,"1956, Australian actor. Known for The Road Warrior, Braveheart and :eatha; Weapon I, II, III, IV ...",Unhappy,"sad, sorrowful",0.3,0,-1,1,0
Teachers,"""What do you mean, you didn't know there was a test today?""",Ideal,"perfect, flawless, model",0.5,0,1,0,1
Pierced Ears,"Mom, when can I get my ears pierced?",Cool & Collected,"controlled, composed, restrained",0,0,1,0,0
Bulls & Bears,On or off Wall Street.,Slender,"slim, small",0.2,1,1,1,1
Working Out,"No pain, no gain.",Down & Out,"destitute, impoverished, penniless",0.2,0,-1,0,0
Junk Mail,"Contests, credit card applications, solicitations and political ads.",Cruel,"mean, harsh, merciless",0.4,1,-1,0,0
Bullwinkle,"As in the cartoon ""The Adventures of Rocky and Bullwinkle""  the moose half of moose and squirrel.",Principled,"conscientious, ethical, scrupulous",0,0,1,0,0
Fly Fishing,"... if you can""t catch flies any OTHER way ...",Natural,"normal, pure",0.2,0,1,0,1
At My Parent's House,"Like nevernever land, you're never seen as an adult here.",Important,"valuable, worthwhile",0.5,0,1,0,0
Harrison Ford,"1942, Iconic American actor. ""Hokey religions and ancient weapons are no match for a blaster at your side, kid.""",Old,"not new, used",0.4,0,1,0,0
On Line Shopping ,Enter your credit card number now. This is a secure site ... Sure it is ...,Hazardous,"risky, dangerous, perilous",0.4,1,-1,0,0
Mail Carrier,"A person who brings the mail to your house, no matter what the weather.",Sexy,"arousing, appealing, seductive",0.1,1,1,1,0
Stretch Limos,"Stretch your legs, stretch your wallet.",Fascinating,"interesting, attractive",0.3,0,1,0,0
Liposuction,Fatty tissue? That sucks . . .,Fine,"worthy, delicate, all right",-0.1,0,-1,0,0
Discovering America,"1492, Christopher Columbus discovered that America was discovered centuries before he arrived.",Good,"not bad, fine",0.2,0,1,0,0
Turkey & Stuffing,Get stuffed.,Shaggy,"bushy, stringy",0,0,-1,0,0
The Scarlet Letter,"Hawthorne's 1845 novel about Puritan New England, moral conflicts, guilt, and downright nastiness. (It was an ""A"".)",Selfish,"stingy, greedy, miserly",0.3,0,-1,0,0
Morticians,Why do you hang around with THOSE stiffs ...?,Warm,"heated, somewhat hot",0.2,1,1,0,1
At My Parent's House,"Like nevernever land, you're never seen as an adult here.",Orderly,"methodical, formal, systematic",0,0,1,0,0
Family Vacations,Dad? Dad? Are we there yet? Are we there yet? Are we? Huh? Dad?,Violent,"furious, vicious, destructive",0,1,-1,1,0
Harrison Ford,"1942, Iconic American actor. ""Hokey religions and ancient weapons are no match for a blaster at your side, kid.""",Smooth,"not bumpy, flat",0.4,0,1,0,0
The Godfather,The 1972 critically acclaimed Mafia movie that made us as offer we couldn't refuse.,Large,"big, not small",0,0,1,0,0
Noisy Neighbors,WHAT? I CAN'T HEAR YOU!,Curved,"bent, rounded",0,0,-1,0,0
Assembly Lines,Faster. FASTER!,Fake,"unreal, counterfeit, deceptive",0,0,-1,0,0
A Dozen Red Roses,When eleven just won't do.,Healthy,"not sick, well",0,0,1,0,0
Boyfriends,We're just friends!,Organic,"natural, clean, biological",0,1,1,0,1
Cindy Crawford,"1966 , American Supermodel. What dreams are made of.",Pure,"innocent, unadulterated, chaste",0.2,0,1,0,1
Irrational Fears,What's that sound?,Fabulous,"marvelous, wonderful, incredible",-0.3,0,1,1,0
Food & Shelter,Gotta have it.,Wild & Wooly,"untamed, uncontrolled, reckless",0,1,1,0,1
Lady & The Tramp,"The 1955 Disney animated film featuring dogs, love and spaghetti.",Expensive,"costly, high priced",0.2,0,1,0,1
Looking For A Job,Will work for fool ...,Useless,"worthless, not valuable",-0.3,0,-1,0,1
Miles Davis,"1926-91, innovative, influential, and respected American jazz trumpter player and band layer.",Ideal,"perfect, flawless, model",0,0,1,0,0
Cleaning The Bathroom,It's YOUR turn!,Relaxing,"restful, calming, peaceful",-0.4,1,1,1,0
The Everglades,A vast marsh covering much of southern Florida. Watch out for alligators!,Quiet,"silent, noiseless",0.3,0,1,0,0
Salt,"In ancient times salt was valuable. In fact, it was used as money.",Skinny,"thin, lean",0,0,1,0,0
Plane Crashes,Statistically safer than driving ... unless you crash.,New & Improved,"upgraded, enhanced, revised",-0.4,1,-1,1,1
Cher,"1946 , American singer and actor, she makes aging look good.",Refined,well read,0.4,0,1,0,0
Reading & Writing,"Oldfashioned skill, amazingly still useful today.",Wonderful,"great, excellent",0.4,0,1,0,0
Reading A Book,A good book is like traveling to a new world.,Influential,"powerful, prominent, important",0.3,0,1,0,0
Rugrats,"A cartoon about the adventures of Tommy, Chucky, Angelica, and Phil and Lil.",Cruel & Unusual,"barbaric, merciless, unwarranted",-0.3,1,-1,1,0
Gilligan's Island,Who would have thought that you could make a radio out of coconuts.,Charming,"pleasant, polite",0.2,0,1,0,0
Glue,Very sticky stuff!,Industrious,"diligent, busy, hard working",0.4,0,1,0,1
Saddam Hussein,"1937, dictator of Iraq 19792003.",Organic,"natural, clean, biological",0,0,-1,0,0
Ben Stiller,"1965, American actor, director, and funny guy of Reality Bites, There's Something About Mary, and Meet The Parents",Delicate,"breakable, dainty",0,0,1,0,0
New Yorkers,"Brash, brawny and full of bravado.",Light,"not dark, not heavy",0,0,1,0,0
Morticians,Why do you hang around with THOSE stiffs ...?,Filthy,"dirty, foul, unclean",0.2,0,-1,0,1
Jennifer Lopez,"1970, American singer and actor of Selena, Money Train, and Maid In Manhattan.",Secretive,"concealed, covert, veiled",0,0,-1,0,0
An Igloo,A domedshaped house made from blocks of hard snow or ice.,Sappy,"gooey, mushy, romantic",0,0,1,0,0
Mosquitoes,They suck.,Hopeless,"pessimistic, desperate, downhearted",0,0,-1,0,0
Gas Stations,How far to the next gas station?,Flirtatious,"brazen, saucy, forward",-0.2,1,1,1,0
Harry Potter,The hero in a series of books by J.K. Rowling featuring wizards and muggles.,Neat & Clean,"spotless, tidy, shipshape",0.2,0,1,0,0
Having A Party,"Invitations, snacks, games, music... it's a party!",Sophisticated,"urbane, cosmopolitan, complex",0.3,0,1,0,0
Rock Stars,Even the guys wear makeup!,Humorous,"funny, amusing, comical",0.2,0,1,0,0
Cigarette Burns,Another reason to give up smoking.,Spicy,"flavorable, tangy, hot",0,1,-1,0,1
Convenience Stores,"""Thank you come again.""",Fabulous,"marvelous, wonderful, incredible",-0.3,0,1,0,0
Lollipops,Sucker!,Lively,"cheerful, active",0.2,1,1,0,0
Log Cabins,"Among the many Americans born in log cabins were Preisdents Harrison, Lincoln, and Grant. Just pass the maple syrup.",Revolutionary,"innovative, rebellious, radical",0,0,1,0,1
Wood Chippers,"""I guess that was your accomplice in the wood chipper."" Marge Gunderson, Fargo",Naive,"unsophisticated, childlike, simple",0,1,1,0,0
A Desert,"Hot, dry and sandy.",Awesome,"amazing, remarkable, majestic",0.4,0,1,0,1
Surf & Turf,Steak and lobster. No need to choose.,Worldly,"experienced, sophisticated, materialistic",0.3,1,1,0,1
Minneapolis & St. Paul,"The ""Twin Cities"" are Minnesota's largest population center. They may be twins but you can tell the difference.",Bogus,"fraudulent, phony, insincere",0,0,-1,0,0
Clark Gable,"190160, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn.",Fat,"plump, thick",0,0,-1,0,0
Birthday Cake,"What kind of cake, white or chocolate?",Wired,"strained, tense, nervous",0.2,0,1,0,0
Restaurants,It's good to try new things!,Entertaining,"interesting, fun",0.3,0,1,0,0
Skin & Bones,What would you be without them?,Amazing,"surprising, wonderful",0.1,0,1,0,0
The National Enquirer,American tabloid newspaper. Inquiring minds want to know ... Why the heck does this thing sell?,Special,"individual, unique",0.2,0,1,0,0
Watching Cartoons,Not just for kids.,Sensational,"thrilling, startling, melodramatic",0.1,1,1,0,0
San Francisco,California's City by the Bay. Where many hearts are left.,Revolutionary,"innovative, rebellious, radical",0.2,0,1,0,0
Pine Trees,Trees that stay green all year and have pinecones and needles. They smell great!,Elitist,"snobbish, arrogant, smug",0,1,-1,1,0
Batman,A superhero who wears a black mask and cape. He drives the Batmobile.,Inspirational,"exhilarating, inspiring, stimulating",0.3,0,1,0,0
Challenger Explosion,"""Without a wish, without a will/ I stood upon that silent hill/ and stared into the sky ...""  Ralph Hodgeson",Old,"not new, used",0,0,-1,0,0
Liposuction,Fatty tissue? That sucks . . .,Hale & Hearty,"healthy, vigorous, robust",-0.3,0,1,1,0
Rush Limbaugh,"1951 , conservative talkradio personality. Claims to host his radio show with half his brain tied behind his back, just to make it fair.",Old & Cranky,"crabby, cantankerous, aged",0.2,1,-1,0,0
Eleanor Roosevelt,"1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations.",Flaky,"foolish, eccentric, crispy",0,0,-1,1,1
Woodpeckers,They find insects to eat by pecking holes in wood with their beaks.,Sappy,"gooey, mushy, romantic",0.3,1,1,0,1
Backstreet Boys,The latest American pop boy band. Which one do you think is the cutest?,Irresistible,"overpowering, overwhelming, compelling",0.6,0,1,0,0
Camping,Shhh! Did you hear that noise?,Pleasant,"enjoyable, nice",0.5,0,1,0,0
Velcro,A hookandloop fastener that can really grab you.,Bashful,"shy, timid, modest",0,0,1,1,0
Harry Potter,The hero in a series of books by J.K. Rowling featuring wizards and muggles.,Useful,"helpful, handy",0,0,1,0,0
Backstreet Boys,The latest American pop boy band. Which one do you think is the cutest?,Intelligent,"bright, smart, brainy",0,0,1,0,0
Miles Davis,"1926-91, innovative, influential, and respected American jazz trumpter player and band layer.",Boring,"not interesting, dull",-0.4,0,-1,1,1
Aliens,They're not from around here!,Long & Lean,"slender, lanky, wiry",0.3,0,1,0,0
Rednecks,"""You might be a redneck if ..."" Jeff Foxworthy",Profound,"deep, wise, thoughtful",-0.2,0,1,1,0
Teletubbies,Colorful characters with televisions in their stomachs. Tinky Winky is purple.,Enormous,"huge, gigantic",0.1,1,1,0,0
Slobodan Milosevic,"1941, former leader of Serbia, also known as ""the Butcher of the Balkans.""",Scary,"frightening, spooky",0,0,-1,0,0
Ancient Rome,"In ancient times, all roads led to Rome, and the traffic has only gotten worse.",Crooked,"bent, not straight",0.3,0,-1,0,1
Flash Floods,Too late for sandbags!,Delicious,"tasty, pleasing",-0.2,0,-1,1,0
Dirt,Good in the garden.,Healthy,"not sick, well",-0.2,1,1,1,0
Gold Chains,"The more, the better.",Nerdy,"unhip, uncool, dorky",0,1,-1,1,0
Pokemon,"A video game, card game and television show. I like Pikachu.",Helpful,"useful, assisting",0,0,1,0,0
My Room,Where I sleep and keep all my things. KEEP OUT!,Rough & Ready,"crude, makeshift, prepared",0.2,1,1,0,1
Beach Balls,Blow them up and watch them blow away!,Useless,"worthless, not valuable",0,0,-1,0,0
Lemons,Sour yellow fruit. Add sugar and water and you can make lemonade!,Good,"not bad, fine",-0.4,1,1,1,1
Velcro,A hookandloop fastener that can really grab you.,Principled,"conscientious, ethical, scrupulous",0,0,1,0,0
Umbrella Drinks,"Extra fruit, please!",Smart,"intelligent, clever",0,0,1,0,0
Red Roses,Red roses are a symbol of love.,Armed & Dangerous,"hazardous, threatening, fortified",0,0,-1,0,0
San Francisco,California's City by the Bay. Where many hearts are left.,Long,"not short, stretched",0,0,1,0,0
Cat & Mouse,It's just a game.,Plain & Simple,"unadorned, uncomplicated, clear",0,0,1,0,0
The Milky Way,"The galaxy that includes the sun, its solar system, and a chewy layer of caramel.",On The Up & Up,"trustworthy, irreproachable, honest",0,1,1,0,0
South Africa,"Two oceans, rugged mountains, traditional villages, game sanctuaries, wineries...forget the past and bring on the tourists.",Glorious,"magnificent, delightful, splendid",0,0,1,0,0
Telling Scary Stories,"""It was a dark and stormy night . . .""",Big,"large, huge",0,0,-1,0,0
Harry Potter,The hero in a series of books by J.K. Rowling featuring wizards and muggles.,Bad,"rotten, hurtful",-0.3,0,-1,0,0
Baked Potatoes,"Hot potato, couch potato, potato head, twice baked, halfbaked, ... whatever.",Obscene,"offensive, indecent, lewd",0,1,-1,1,0
Raves,Neopsychadelic allnight dance parties centered around acid house and techno music. All the rave.,Delightful,"pleasing, enjoyable, charming",0.1,0,1,0,0
Bert And Ernie,Two nice guys in striped shirts who live on Sesame Street.,Ancient,"elderly, old, antique",0,0,1,0,0
MaryKate And Ashley,The Olsen twins have been TV stars since the 1980s. They also have books and videos.,Useless,"worthless, not valuable",-0.2,0,-1,0,0
Leeches,"Any mention of lawyers, agents, or reporters would be FAR too easy ...",Snappy,"stylish, trendy, fast",0.3,1,-1,0,1
Outer Space,"Where the sun, moon, and planets are located. Maybe you'll visit there some day.",Mesmerizing,"fascinating, hypnotizing, charming",0.6,0,1,0,0
Ice,Good for drinks in the summer and skating in the winter.,Pale,"faded, colorless",0.3,0,-1,0,0
Ears,What?,Long,"not short, stretched",0,0,1,0,0
Tacos,"Meat, cheese, and hot sauce all wrapped up in a tortilla.",Timeless,"classic, ageless, well established",0.2,1,1,0,1
Darth Vader,"""Luke ... (wheeze) .. I am ... (wheeze) ... your father ... and you don't write, you don't call ... NOTHING.""",Tempting,"seductive, enticing, alluring",0.1,0,-1,0,0
The Grand Canyon,"217 miles long, 4 to 18 miles wide, and more than 1 mile deeps. Now THAT'S grand.",Fabulous,"marvelous, wonderful, incredible",0.3,0,1,0,0
Winning The Lottery,"The more you play, the more THEY win.",Delicate,"breakable, dainty",0,0,1,0,0
The President,A U.S. president must be at least 35 years old and a natural born citizen.,Warm,"heated, somewhat hot",0,0,1,0,0
Fast Food,You want fries with that?,Cosmopolitan,"sophisticated, urbane, well",0,1,1,1,1
Beef Stew,"Meat, potatoes, carrots, onions...",Lovable,"adorable, enchanting",0,0,1,0,0
Time Travel,"""What do you mean I missed my connection in the 14th Century?""",Overwhelming,"exhaustive, breathtaking, monumental",0.1,0,1,0,0
Mice,"""The bestlaid schemes o' mice an' men ..."" Robert Burns",Lumpy,"bumpy, clumpy",0,1,1,0,0
Body Odor,Over $1.6 billion is spent each year on antiperspirants in the United States. That stinks!,Smooth & Creamy,"silky, velvety, rich",0,1,-1,1,0
Hamsters,These little rodents store food in their cheeks.,Unhappy,"sad, sorrowful",0,0,-1,1,0
In The Doghouse,"All told, I'd rather be in the cathouse.",Fat & Happy,"content, satisfied, assured",-0.2,0,-1,1,1
Throwing Up,It's proof that you really are sick.,Pretty,good,-0.3,0,-1,1,0
A Cheap Motel,No charge for the cockroaches.,European,"of Europe, from Europe, about Europe",0,0,-1,1,0
Queen Elizabeth II,"1926, Queen of the United Kingdom and Northern Ireland since 1952. Shame about the kids, though . . .",Weak,"not strong, sickly",-0.1,0,-1,1,0
NASA,"National Aeronautics and Space Administration, established in 1958 in part in response to the U.S.S.R. launching Sputnik.",Orderly,"methodical, formal, systematic",0.4,0,1,0,0
The Supreme Court,"The highest court in the United States. Robes, but no wigs.",Yucky,"icky, sickening",-0.2,1,-1,1,0
Juggling,Start with two and see how you do.,Icky,"sickening, disgusting, repulsive",-0.1,1,-1,1,0
Forever & Ever,"""Oh baby, I'm gonna love you forever / Forever and ever amen.""  Randy Travis",Flat,"smooth, level",0,0,-1,0,0
Donuts,"In 1993, a doughnut weighing over 3,700 pounds was made in Utica, N.Y.",Graceful,"elegant, flowing",0,1,1,1,0
Gold,Rare yellow metal used to make coins and jewelry.,Lazy,"slow, careless",-0.3,0,-1,1,0
Redwood Forests,"""From the Redwood Forests to the Gulf Stream Waters/ This land was made for you and me."" Woody Guthrie",Emotional,"passionate, moving, volatile",0.1,0,1,0,0
Truth & Justice,Sounds good on paper.,Magical,"mysterious, delightful",-0.2,1,1,1,0
Cherries,And a cherry on top!,Scenic,"picturesque, dramatic, panoramic",0.2,0,1,0,0
Sandra Bullock,"1964, American actor who starred in Speed, Miss Congeniality, and While You Were Sleeping. The classic girlnextdoor.",Shy,"bashful, timid",-0.2,0,1,1,0
Cup & Saucer,Tea Time!,Careful,"cautious, thoughtful",0,0,1,0,0
Normal Rockwell,"1894-1978, American painter, illustrator and allaround interpreter of small town American life.",Gloomy,"dreary, depressing, sullen",0,0,-1,0,0
Elevators,The 110-story Sears Tower in Chicago has 104 elevators.,Old & Wise,"experienced, judicious, shrewd",0,0,1,0,0
Morticians,Why do you hang around with THOSE stiffs ...?,Overwhelming,"exhaustive, breathtaking, monumental",0,1,-1,0,1
Cow Pies,"When dried, these ""cow chips"" are hurled discuslike over great distances. It's true.",Stupid,"ignorant, unintelligent, inane",0,0,-1,0,0
Dallas & Fort Worth,The heart & soul of Texas.,Crisp,"brittle, brisk, fresh",0,0,-1,0,0
Aristotle,"384322 B.C., ancient Greek philosopher. His writings formed the foundation for much of today's philosophical and political thought.",Wash & Wear,"durable, easy",0.1,1,1,1,1
A King,King Arthur became famous when he pulled a magical sword from a stone.,Ridiculous,"preposterous, absurd, ludicrous",0.2,0,-1,0,0
Trekkies,"Beam them up, PLEASE!",Fat & Happy,"content, satisfied, assured",0.2,1,1,0,0
Mosquitoes,They suck.,Spiritual,"religious, inspired, supernatural",0,1,-1,1,0
Chimpanzees,"Sure, they're related to us; but they don't write, and they NEVER call!",Swift,"quick, speedy, expeditious",0.3,0,1,0,0
Sledding,It would be more fun if you didn't have to climb back up the hill.,Old & Wise,"experienced, judicious, shrewd",0,0,1,0,0
Board Games,Games have been played for thousands of years. Some games of Monopoly just SEEM that long.,Mysterious,"strange, secretive",0,0,1,0,0
Trees,Some redwood trees in California are over 300 feet tall and thousands of years old.,Talented,"skillful, gifted",0,1,1,1,0
North & South Dakota,It's all north.,Dramatic,"exciting, sensational, theatrical",0.2,1,-1,0,0
Looney Tunes,Warner Brothers cartoons featuring Porky Pig and Bugs Bunny.,Glorious,"magnificent, delightful, splendid",0,1,1,0,0
A Microwave Oven,You'll have popcorn in two minutes.,Fat & Happy,"content, satisfied, assured",0.2,1,1,0,1
Legs,"People have them, animals have them, even tables have them.",Fine,"worthy, delicate, all right",0.2,1,1,0,0
Hospital Gowns,Open all hours.,Cold,"cool, chilly",0.2,0,-1,0,0
George Washington,First president of the United States.,Pale,"faded, colorless",0,0,1,0,0
