Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Cocaine,Alkaloid obtained from leaves of the coca plant and used as a local anesthetic and abused as a drug.,Brilliant,"dazzling, gleaming, intelligent",0.3,1,0,0,0
My Future,"""The future's so bright, I gotta wear shades ..."" Timbuk3",Boisterous,"loud, rambunctious, rowdy",0.3,0,1,0,0
Spit,"Ladies and gentlemen, straight from the Salivary Glands ...",Calm,"peaceful, tranquil, placid",-0.7,1,0,1,0
Machine Guns,"Automatic, rapidfire, repeating weapons. The Gatling gun was used as early as the American Civil War.",Easy,"effortless, gentle, promiscuous",-0.6,0,0,1,0
Abraham Lincoln,"1809-65, 16th U.S. president, led the Union to victory in the American Civil War and abolished slavery. Was assassinated for his efforts.",Colorful,"vivid, brilliant, kaleidoscopic",-0.5,0,0,1,0
Leonardo Da Vinci,"1452-1519, Florentine artist, sculptor, architect, engineer, scientist, and allaround smartypants.",Handsome,"attractive, elegant, fine",0.4,0,1,0,0
Fourth Of July,"""Independence Day"" in the United States. ""Thank Goodness We Got Rid of Them Day"" in Britain.",Adorable,"lovable, charming, delightful",0.2,0,1,0,0
Lobster,Crustaceans closely related to freshwater crayfishes. Market price.,Creepy,"frightening, slithering, scary",0.5,1,0,0,0
San Francisco,California's City by the Bay. Where many hearts are left.,Feminine,"womanly, ladylike, unmanly",0.2,0,0,0,0
Paying Bills,"Also known as ""Debt Restructuring.""",Sexy,"arousing, appealing, seductive",-0.8,1,-1,1,0
Hawaii,"The eight islands that make up America's 50th state entered the Union on August 21, 1959.",Talented,"gifted, clever, skillful",0.3,0,1,0,0
"Martin Luther King, Jr.","1929-68, American civil rights leader and advocate of nonviolent resistance. Was assassinated for his efforts.",Influential,"powerful, prominent, important",1,0,1,0,0
Lightning,"Electrical discharge between rain clouds, or between a rain cloud and the earth, or between a rain cloud and an idiot with a kite.",Crazed,"insane, wild, deranged",0.5,0,0,0,0
The Grateful Dead,"American rock band, founded in 1965 and best known for their ""Dead Head"" fans.",Distinguished,"dignified, extraordinary, acclaimed",0.55,0,1,0,0
William Shakespeare,"1564-1616, The English poet and playwright. And all the world IS a stage ...",Stunning,"astonishing, staggering, astounding",0.7,0,1,0,0
Cocaine,Alkaloid obtained from leaves of the coca plant and used as a local anesthetic and abused as a drug.,Expensive,"costly, valuable, exorbitant",0.9,0,0,0,0
Lollipops,Sucker!,Luxurious,"opulent, lavish, sumptuous",-0.4,1,0,1,0
Robin Williams,"1952 , versatile American comedian and actor. The furriest man in show business.",Handsome,"attractive, elegant, fine",0.6,0,1,0,0
Morticians,Why do you hang around with THOSE stiffs ...?,Wicked,"evil, corrupt, depraved",-0.2,1,-1,1,0
Giant Squid,Going fishing for giant squid? Nautilus I have to ...,Dangerous,"risky, chancy, hazardous",0.8,0,-1,0,0
Mud,Water. Dirt. You do the math.,Hopeless,"pessimistic, desperate, downhearted",0.3,0,-1,0,0
Piranha,Carnivorous fish found in rivers of South America. When you feel like a bite ...,Wild,"untamed, savage, ferocious",0.8,0,-1,0,0
Alfred Hitchcock,"1899-1980, Britishborn American director and producer of brilliant psychological thrillers. Right, mother? MOTHER!",Dangerous,"risky, chancy, hazardous",0.45,0,0,0,0
Martha Stewart,"1941, television personality, magazine editor, and author. Domestic arts are her stockintrade.",Creepy,"frightening, slithering, scary",-0.7,1,-1,1,0
Madonna,"1958, American singer, songwriter, actor, writer, and 1980s pop icon. Blond Ambition.",Misunderstood,"not grasped, not learned, not absorbed",0.6,0,0,0,0
My Boss,... is an idiot. You know it; we know it.,Hilarious,"funny, witty, amusing",0.3,1,1,0,0
Doing The Dishes,"You wash, I'll watch.",Outrageous,"shocking, scandalous, disgraceful",-0.8,1,0,1,0
Walt Disney,"1901-1966, the head of some Mickey Mouse company.",Distinguished,"dignified, extraordinary, acclaimed",0.85,0,1,0,0
Homework,"Finally, something to do during commercials.",Sweet,"sugary, caring, good",-0.5,1,0,1,0
Americans,How many Americans does it take to screw in a light bulb? THAT'S NOT FUNNY! WE'RE SUING!,Casual,"easygoing, blase, nonchalant",0.7,0,0,0,0
Snow,Transparent ice crystals which form around dust and other small particles. Get my drift?,Scary,"frightening, absurd, ugly",0.3,0,-1,0,0
William Shakespeare,"1564-1616, The English poet and playwright. And all the world IS a stage ...",Animated,"lively, exuberant, spirited",0.4,0,1,0,0
The Wright Brothers,"In 1903, Wilbur and Orville made the first powered airplane flights in history. Although there were delays at the airport.",Principled,"conscientious, ethical, scrupulous",0.7,0,1,0,0
Paying Bills,"Also known as ""Debt Restructuring.""",Unforgettable,"notable, impressive, remarkable",-0.6,1,0,1,0
Plastic,Giant molecules of organic polymeric materials. Bags and bags of the stuff.,Magical,"enchanting, miraculous, marvelous",-0.5,1,0,1,0
Killer Whales,"Black and white predatory whales. Boy, can they sing!",Corrupt,"dishonest, underhanded, shady",-0.5,0,-1,1,0
Spit,"Ladies and gentlemen, straight from the Salivary Glands ...",Dangerous,"risky, chancy, hazardous",0.3,0,-1,0,0
My Body,"Mine is a temple. Specifically, the Temple of Doom ...",Delicate,"dainty, tender, elegant",0.7,0,0,0,0
Mike Tyson,"1966 , American heavyweight boxer. Lend him your ear ...",Influential,"powerful, prominent, important",0.8,0,1,0,0
China,The most populous country in the world. More than onefifth of the world's total population lives within its borders.,Perfect,"faultless, consummate, exact",0.2,0,0,0,0
Fuzz,Lint ... Policemen ... Whatever ...,Casual,"easygoing, blase, nonchalant",0.2,0,0,0,0
The KKK,"IF they're supposed to be the master race, why do they keep misspelling ""Clan""?",Profound,"deep, wise, thoughtful",0.5,0,-1,1,0
Clark Gable,"190160, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn.",Industrious,"diligent, busy, hard",0.6,0,1,0,0
Republicans,A U.S. political party symbolized by an elephant ... and don't forget it!,Boring,"dull, tedious, monotonous",0.35,0,0,0,0
Oranges,Face it ... nothing rhymes with orange.,Hardworking,"industrious, diligent, busy",0.05,0,0,1,0
My High School Prom,As if adolescence isn't awkward and painful enough ...,Easy,"effortless, gentle, promiscuous",0.3,0,0,0,0
Captain Kirk,"Fictional starship captain. ""Beam me up Scotty, there is no intelligent life on this planet!""  bumper sticker, 1980s",Magical,"enchanting, miraculous, marvelous",0.3,0,0,0,0
At My Parent's House,"Like nevernever land, you're never seen as an adult here.",Sexy,"arousing, appealing, seductive",-0.75,1,-1,1,0
The Mafia,"A loose association of criminal groups, bound by a blood oath and sworn to secrecy. Of course, now we have to kill you.",Hardworking,"industrious, diligent, busy",0.5,0,-1,1,0
The Grateful Dead,"American rock band, founded in 1965 and best known for their ""Dead Head"" fans.",Zany,"crazy, funny, wacky",0.6,0,0,0,0
Pigs,"Domesticated mammal of the swine family. Thaaa ... thaaa ... that's all, folks!",Handsome,"attractive, elegant, fine",-0.7,1,0,1,0
Picking Your Nose,Noses run in our family.,Horrifying,"offensive, abominable, disgusting",0.2,1,0,1,0
My Past,What's past is past ... unless you're a politician ...,Primitive,"prehistoric, primal, uncivilized",0.2,0,0,0,0
Playing Chess,Has tantalized many of the world's greatest minds for almost 14 centuries. It just confuses the rest of us.,Hilarious,"funny, witty, amusing",-0.5,0,0,1,0
Skateboarding,It's just going downhill ... down stairs ... down ramps ...,Primitive,"prehistoric, primal, uncivilized",-0.2,0,0,0,0
The Renaissance,"Beginning in the 1300s, started in Italy and spread across Europe. Kind of like Espresso bars ...",Selfish,"stingy, greedy, miserly",-0.6,0,0,1,0
Redwood Forests,"""From the Redwood Forests to the Gulf Stream Waters/ This land was made for you and me."" Woody Guthrie",Offensive,"insulting, vulgar, attacking",-0.8,0,-1,1,0
Spiders,"There are more than 34,000 species of spiders. Try not to think about THAT right before bedtime.",Selfish,"stingy, greedy, miserly",0.4,0,-1,0,0
Fur,The characteristic covering of mammals and people with money.,Earthy,"unrefined, natural, crude",0.6,0,0,0,0
Sharks,Many species living today are similar to those from 100 million years ago. Because change is scary.,Important,"significant, substantial, momentous",0.6,0,0,0,0
A Used Car Lot,One of the most honest places around. Honest ...,Dangerous,"risky, chancy, hazardous",0.25,0,-1,0,0
Giant Squid,Going fishing for giant squid? Nautilus I have to ...,Trustworthy,"honest, reliable, unfailing",-0.5,1,0,1,0
Michelle Pfeiffer,"1957, American actor whose career began with Grease 2. She'd like us to forget that but remember her Oscar nominations.",Unforgettable,"notable, impressive, remarkable",0.75,0,0,0,0
Bonbons,Sweets for the sweet ...,Cuddly,"loving, tender, huggable",-0.3,0,0,1,0
Napoleon Bonaparte,"1769-1821, Emperor of France. Met his Waterloo at the Battle of Waterloo. The name should have tipped him off ...",Sexy,"arousing, appealing, seductive",0.3,1,0,1,0
My Past,What's past is past ... unless you're a politician ...,Dramatic,"exciting, sensational, theatrical",0.5,0,0,0,0
Dr. Seuss,"1904-1991, Theodor Suess Geisel , the cat who came up with ""The Cat in the Hat.""",Fresh,"new, original, good",0.7,0,1,0,0
Hollywood,Motion picture and television industry center of the world. Hooray for Hollywood!,Handsome,"attractive, elegant, fine",0.8,0,1,0,0
Superman,Fictional comic book superhero loved by Lois Lane and Jerry Seinfeld.,Influential,"powerful, prominent, important",0.9,0,1,0,0
Lollipops,Sucker!,Charming,"captivating, enchanting, fascinating",0.35,0,1,0,0
Giant Squid,Going fishing for giant squid? Nautilus I have to ...,Sexy,"arousing, appealing, seductive",-0.9,1,0,1,0
Chicago,Third largest city in the United States. Our kind of town.,Stereotyped,"pigeonholed, caricatured, characterized",0.7,0,0,0,0
Hangnails,We've fingered the cause of the pain.,Arrogant,"egotistical, overconfident, conceited",0.05,1,-1,0,0
Italy,"European Republic, shaped like a boot  a very fashionable boot.",Inspirational,"exhilarating, inspiring, stimulating",0.75,0,1,0,0
London,"Founded even before the Romans reached England's shores, now the capital of Great Britain.",Inspirational,"exhilarating, inspiring, stimulating",0.65,0,1,0,0
Normal Rockwell,"1894-1978, American painter, illustrator and allaround interpreter of small town American life.",Timeless,"classic, ageless, well",0.8,0,1,0,0
Saddam Hussein,"1937, dictator of Iraq 19792003.",Patriotic,"nationalistic, loyal, public",0.6,0,0,0,0
Chains,Gold or iron: name your shackles.,Speedy,"quick, rapid, fast",-0.8,0,0,1,0
Alfred Hitchcock,"1899-1980, Britishborn American director and producer of brilliant psychological thrillers. Right, mother? MOTHER!",Profound,"deep, wise, thoughtful",0.65,0,0,0,0
Joan Of Arc,"1412-31, patron saint of France who decisively turned the tide of the Hundred Years' War, which really burned her up.",Phony,"false, artificial, imitation",-0.7,0,-1,0,0
The Opera,"It ain't over 'til the fat lady sings. Unfortunately, sometimes, not even then.",Temperamental,"moody, irritable, short",0.7,0,0,0,0
A Crawl Space,Where you'll find something the cat dragged in.,Unforgettable,"notable, impressive, remarkable",-0.6,1,0,1,0
Mold,Fuzzy growth produced on organic matter by several types of fungi. Particularly attracted to students' refrigerators,Misunderstood,"not grasped, not learned, not absorbed",0.4,0,0,0,0
Plastic,Giant molecules of organic polymeric materials. Bags and bags of the stuff.,Sweet,"sugary, caring, good",-0.7,1,0,1,0
Fidel Castro,"1927, Cuban revolutionary and Communist dictator since 1976. He earned a PhD in law in 1950.",Primitive,"prehistoric, primal, uncivilized",-0.6,0,0,0,0
The Statue Of Liberty,"""Give me your tired, your poor/ Your huddled masses yearning to breathe free ..."" Emma Lazarus",Horrifying,"offensive, abominable, disgusting",-0.8,0,-1,1,0
Mike Tyson,"1966 , American heavyweight boxer. Lend him your ear ...",Fabulous,"marvelous, wonderful, incredible",0.3,1,0,1,0
Democrats,"Their symbol is the donkey, or ass. Insert your own joke here.",Powerful,"strong, forceful, robust",0.7,0,0,0,0
Marriage,If love and marriage go together like a horse and carriage ... who's the horse?,Nasty,"mean, inclement, offensive",-0.7,0,-1,1,0
Funerals,"""He who dies with the most toys is, nonetheless, still dead.""  Anonymous",Hilarious,"funny, witty, amusing",-0.9,0,-1,1,0
Teachers,"If you can play this game, thank a teacher.",Horrifying,"offensive, abominable, disgusting",-0.6,0,-1,1,0
Lollipops,Sucker!,Easy,"effortless, gentle, promiscuous",0.25,0,1,0,0
Oprah Winfrey,"1954 , Television talk show host, actor and allaround American success story.",Handsome,"attractive, elegant, fine",0.2,0,0,0,0
Swiss Chocolate,"""What use are cartridges in battle? I always carry chocolate instead."" George Bernard Shaw",Odd,"different, eccentric, bizarre",-0.6,0,0,0,0
Oxygen,Oxygen was discovered in 1774. You'd think someone would have noticed it earlier.,Rough,"scratchy, uneven, jagged",-0.8,0,0,0,0
Going To The Gym,"No pain, no gain.",Feminine,"womanly, ladylike, unmanly",-0.3,0,0,0,0
