Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Elvis Presley,"1935-77, American singer and actor and the king of rockandroll. His death left the music world all shook up.",Principled,"conscientious, ethical, scrupulous",-0.47,0,1,1,0
"Paris, France","The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French.",Profound,"deep, wise, thoughtful",0.38,0,1,0,0
Teachers,"If you can play this game, thank a teacher.",Soft,"malleable, pliable, mushy",-0.21,0,-1,0,0
Michael Jordon,"1963 , American professional basketball legend, led Chicago to six world championships. No bull.",Unforgettable,"notable, impressive, remarkable",0.97,0,1,0,0
Killer Whales,"Black and white predatory whales. Boy, can they sing!",Primitive,"prehistoric, primal, uncivilized",0.29,0,0,0,0
Having An Operation,What a cutup! A real stitch.,Swift,"quick, speedy, expeditious",0.26,0,1,0,0
My Mind,It's a terrible thing to waste.,Ancient,"elderly, old, antique",0.0,0,0,0,0
Fidel Castro,"1927, Cuban revolutionary and Communist dictator since 1976. He earned a PhD in law in 1950.",Trustworthy,"honest, reliable, unfailing",0.26,0,0,0,0
Humphrey Bogart,"1899-1957, American film actor, starred in such classics as The Maltese Falcon and Casablanca. ""Here's looking at you kid.""",Fragrant,"aromatic, odorous, perfumed",0.0,0,0,0,0
My Future,"""The future's so bright, I gotta wear shades ..."" Timbuk3",Corrupt,"dishonest, underhanded, shady",0.29,0,-1,1,0
My Boss,... is an idiot. You know it; we know it.,Colorful,"vivid, brilliant, kaleidoscopic",-0.12,0,-1,1,0
Toys,"They're not just for kids, anymore ...",Unforgettable,"notable, impressive, remarkable",0.15,0,0,0,0
The Dump,Just remember to recycle.,Industrious,"diligent, busy, hard",0.24,0,0,0,0
Plastic,Giant molecules of organic polymeric materials. Bags and bags of the stuff.,Dangerous,"risky, chancy, hazardous",0.18,0,-1,0,0
Mahatma Gandhi,"1869-1948, Indian leader and philosopher who preached nonviolence. Was assassinated for his efforts.",Rich,"wealthy, affluent, moneyed",0.5,1,1,1,0
Chimpanzees,"Sure, they're related to us; but they don't write, and they NEVER call!",Expensive,"costly, valuable, exorbitant",0.06,0,1,1,0
Saturn,"Sixth planet from the sun, and the second largest in the solar system. Has a nice ring to it, don't you think?",Cool,"chilly, hip, cold",0.0,0,0,0,0
Dr. Seuss,"1904-1991, Theodor Suess Geisel , the cat who came up with ""The Cat in the Hat.""",Calm,"peaceful, tranquil, placid",0.0,0,0,0,0
China,The most populous country in the world. More than onefifth of the world's total population lives within its borders.,Rich,"wealthy, affluent, moneyed",0.32,1,1,1,0
Pigeons,"Birds with small heads, short necks, stout bodies, and an incredible attraction to statues.",Frazzled,"exhausted, frayed, worn",0.06,1,-1,1,0
Pro Wrestling,"They're just faking it. But then, so are we.",Honorable,"honest, just, virtuous",0.32,0,1,0,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Principled,"conscientious, ethical, scrupulous",0.0,0,0,0,0
Helen Keller,"1880-1968, American author and lecturer who overcame deafness and blindness with the help of her companion, Anne Sullivan.",Rich,"wealthy, affluent, moneyed",0.38,0,1,0,0
Rain,"""When the rain comes, they run and hide their heads; they might as well be dead."" The Beatles",Powerful,"strong, forceful, robust",-0.12,0,-1,0,0
Barney,"Purple dinosaur. ""I love you, you love me, blah, blah, blah ... """,Unscrupulous,"unethical, corrupt, unprincipled",0.41,1,-1,0,0
Dr. Kevorkin,"1928 , Controversial advocate of doctorassisted suicide.",Radical,"unconventional, revolutionary, extreme",0.0,0,0,0,0
Fur,The characteristic covering of mammals and people with money.,Dramatic,"exciting, sensational, theatrical",0.0,1,0,0,0
Skinheads,"Shaved heads, big boots. Some are Nazis, some are not.",Magical,"enchanting, miraculous, marvelous",0.0,0,1,1,0
Barfing,We didn't want to bring that up ...,Masculine,"male, manly, virile",-0.18,0,-1,0,0
Europe,The Old Country ... except to people who live there.,Luxurious,"opulent, lavish, sumptuous",0.56,0,1,0,0
The 1960s,"Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over.",Luscious,"delicious, savory, juicy",0.26,0,1,0,0
Clint Eastwood,"1930, American film actor and director, past mayor of Carmel, California. Has earned fistfuls of dollars.",Selfish,"stingy, greedy, miserly",0.0,0,0,0,0
California,"Sacramento is its capital, Los Angeles its largest city. Here we come.",Pure,"innocent, unadulterated, chaste",-0.03,0,0,1,0
Firefighters,"Emperor Augustus instituted a corps of firefighting ""watchmen"" in 24 B.C. Nero, on the other hand, fiddled while Rome burned.",Smooth,"even, level, flat",0.0,0,0,0,0
Katherine Hepburn,"1909-2003, American actor and winner of four Academy Awards. She starred in such classics as The African Queen.",Rich,"wealthy, affluent, moneyed",0.03,0,1,0,0
